,Tweets,Subjectivity,Polarity,Analysis
346,I remember this vaccine covidvaccine ,0.0,0.0,Neutral
347,First batch of CovidVaccine from   CoviShield has reached Mumbai  F South War… ,0.3333333333333333,0.25,Positive
348,"I’m getting the first dose of the CovidVaccine next week! Thank you,  for advocating for veterinary health… ",0.16666666666666666,0.125,Positive
349,"So many different COVID19 variants now - one more transmissible, one transmissible and possibly has antibody inter… ",0.65,0.25,Positive
350,A disturbing and thought provoking read about the CovidVaccine trials in India and especially BharatBiotech.… ,0.9,-0.25,Negative
351,Thread on vaccination CovidVaccine COVID19 ,0.0,0.0,Neutral
352,CovidVaccine if mailman and Amazon can deliver to your door everyday..... maybe they should inject the vaccine door to door,0.6,-0.2,Negative
353,This can apply to the PH too. COVID19PH CovidVaccine ,0.0,0.0,Neutral
354,"Watch our expert panel discussion    
“COMBATING COVID-19: INDIA AND THE WORLD?” on Wednesday - 13th Jan’21 from 7.… ",0.0,0.0,Neutral
355,Consignment of Indigenous COVAXIN dispatched from Hyderabad to Delhi and other location through air cargo.… ,0.375,-0.125,Negative
356,Second  dose ✅ !ThisIsOurShot Science. Want to continue helping to educate our underrepresented… ,0.0,0.0,Neutral
357,"The first vials of the CovidVaccine reached 14 cities, The Parliamentary Panel on IT is likely to summon Facebook… ",0.6666666666666666,0.125,Positive
358,"My 75-yo father just scheduled his CovidVaccine for next week and I couldn’t be more excited! 

He’s immunocomprom… ",0.4166666666666667,0.3229166666666667,Positive
359,The next big thing to tackle will be fraud related to CovidVaccine ,0.16666666666666666,0.0,Neutral
360,  Firstly all India's MPs &amp; MLAs (politician) needs CovidVaccine it's their moral an… ,0.29166666666666663,0.125,Positive
361,"🔴 39 - ""No clear addresses"" ?
WTF 😲
How they got detected or caught as Covid19 patients?
Holy hell 😱
What will hap… ",0.6916666666666667,-0.275,Negative
362,"CovidVaccine dose2 Pfizer COVIDVaccination 
5 hrs post poke:
Been doing some arm movements for the inevitable a… ",1.0,0.0,Neutral
363,"Maharashtra: The first consignment of Covishield by Serum Institute of India arrived in Mumbai, earlier this morni… ",0.41666666666666663,0.125,Positive
364,Finished off the CovidVaccine with my 2nd today. Thanks  ! Now let’s get out and get our communities va… ,0.1,0.125,Positive
365,My exhusband took the 2nd dose of the COVID Vaccine (Pfizer) on Friday. He felt a little under the weather and rest… ,0.25,-0.09375,Negative
366,"Dr. Little, , Director of the UNC Comprehensive SickleCell Disease program, got her COVIDVaccine.… ",0.5,-0.1875,Negative
367,"Make sure everyone has candles, supplies and backups for when America goes dark! Pakistan and Italy are blacked out… ",0.6444444444444444,0.15625,Positive
368,Why is California having such a hard time rolling out the vaccine?  Lives are at stake. I feel as if we’ve been mor… ,0.5208333333333333,-0.14583333333333334,Negative
369,@_sayema Uae me to sab ne  CovidVaccine le li ,0.0,0.0,Neutral
370,"T4: We need to get our priorities right.

1️⃣ Dramatically ⬆️ investments in CovidVaccine rollout &amp; awareness 
2️⃣… ",0.5357142857142857,0.2857142857142857,Positive
371," _clark14   Tory loonatics!?
They cant be bothered to use any logic or… ",0.0,0.0,Neutral
372,"Telangana | The first consignment of Covaxin by Bharat Biotech, being brought from Hyderabad to Delhi on an Air… ",0.3333333333333333,0.25,Positive
373,"Maharashtra | The first consignment of Covishield by Serum Institute of India arrived in Mumbai, earlier this mo… ",0.41666666666666663,0.125,Positive
374,"Dr. Smith-Whitley,  Director, Comprehensive SickleCell Center got her COVIDVaccine.  She explains… ",0.1,-0.1,Negative
375,Yep. Will work 4 us just as well as the CovidSafe App. CovidVaccine ScottyFromPhotoOps scottyfromarketing… ,0.0,0.0,Neutral
376,Got my first dose of the covidvaccine ❤️ a day for the history books ,0.3333333333333333,0.25,Positive
377,"GETAnalysis:  owner, privileged RupertMurdoch among the first to receive a vaccine shot, even as his star… ",0.3333333333333333,0.25,Positive
378,"Bharat Biotech Signs Deal With Precisa Med To Supply Covaxin To Brazil
Covaxin Brazil CovidVaccine 
",0.0,0.0,Neutral
379,"Dr. Ruth on why she got the CovidVaccine, ""As a doctor and a person living with sicklecell anemia, I felt it was… ",0.0,0.0,Neutral
380,CovidVaccine shots in San Diego.  Not one phone number or web site to book appt. No wonder this city is destroying… ,0.0,0.0,Neutral
381, This guy shud take the CovidVaccine  first ,0.3333333333333333,0.25,Positive
382,"CovidVaccine 
This is the right move by Riverside County - seniors and educators. Protect our elderly and get kids… ",0.5357142857142857,0.2857142857142857,Positive
383,"Have y’all seen this    

The COVIDVaccine in my own words  via ",1.0,0.6,Positive
384,Panning out as expected; but much faster than expected: vaccines are designed to give you disease in the name of di… ,0.3333333333333333,0.0,Neutral
385,"What a great start to 2021! Blessed to receive this vaccine 🙏🏻
modernavaccine CovidVaccine  ",0.75,1.0,Positive
386,"“Should I Get a COVID-19 Vaccine if I've Had the Virus?” - via  - 
--
vaccine COVIDvaccine vaccination COVID19",0.0,0.0,Neutral
387,"hoping to speed up the U.S. vaccination campaign, vaccines are now available for people over 65 vaccine… ",0.4,0.4,Positive
388,"All that's left for GavinNewsom to do with his botched CovidVaccine administration is say ""Brownie, you're doing a heck of a job.""",0.0,0.0,Neutral
389, Now to get us SchoolWorkers vax'd! Lucky my dad and I are also members of our local VFD! covidvaccine… ,0.4166666666666667,0.16666666666666666,Positive
390,"Now trending**
Master
MasterFilm
COVIDVaccination
bussitchallange
vaccine
CovidVaccine
방탄소년단
davido
davido… ",0.0,0.0,Neutral
391,Now that CovidVaccine has arrived... do not be complacent or do not forget sacrifices of covidwarriors .… ,0.0,0.0,Neutral
392,I found out that I am now eligible to get the CovidVaccine and I could cry I'm so excited! I just finished leaving… ,0.75,0.46875,Positive
393,"Well if PaulKelly sought to ease concern over CovidVaccine he failed. It's 35% less effective, will not give us… ",0.3888888888888889,-0.022222222222222216,Negative
394,I can't stop thinking about how IGotTheShot and what an incredible scientific &amp; medical achievement this vaccine i… ,0.45,0.45,Positive
395,An important thread about throwing the kitchen sink at this thing. Let’s get the hell on with it. Covid19 auspol… ,1.0,0.4,Positive
396,The evidence of corruption and incompetency in the Trump Administration just keep growing. Looks like  muz… ,0.0,0.0,Neutral
397,"Thread...

Prof Heidi Drummer
Vice President &amp; Spokesperson Australasian Virology Society

Has held three conflicti… ",0.0,0.0,Neutral
398,"To those who lost their lives, to those who risked their lives, and to those who put everything else on hold... 

T… ",0.0,0.0,Neutral
399,"In other news, my hubby received his 2nd  COVID vaccine after his work today. 1st shot my 10 min napping &amp; l… ",0.1875,-0.0625,Negative
400,"56.5 lakh vax doses dispatched from Pune to 13 locations 

Jaipur Vax Arrive Today

Read the article using the lin… ",0.0,0.0,Neutral
401,"covid is making image close to God , u like it or not it’s everywhere .
U catch it it’s there in you
U get vaccina… ",0.0,0.0,Neutral
402,Getting my CovidVaccine this week. First vaccine I'm actually excited to get haha,0.4611111111111111,0.27499999999999997,Positive
403,Countries are ordering CovidVaccine doses in millions. Country with 200M+ populatn says it'll soon receive its 1st… ,0.0,0.0,Neutral
404,Australia’s chief medical officer Paul Kelly has defended rollout plans for the AstraZeneca coronavirus vaccine and… ,0.0,0.0,Neutral
405,"Pfizer CovidVaccine 2 update:  

I am 36 hours out from dose 2 and I feel great.  I had a mild headache about 8… ",0.625,0.5666666666666667,Positive
406,"Delhi receives 2,64,000 doses of COVID vaccine Covishield

Delhi CovidVaccine vaccine vaccines VaccineDay… ",0.0,0.0,Neutral
407,Ya girl got the CovidVaccine ✌️,0.0,0.0,Neutral
408,The HWC staff have been receiving the CovidVaccine this week and we are so grateful to our local pharmacies for th… ,0.0,0.0,Neutral
409, we are proud of the life saving effort by the entire team. It's a proud moment for this country to… ,0.875,0.5333333333333333,Positive
410,  Why is  FAILING to post lifesaving CovidVaccine info in CHINESE VIETNAM… ,0.0,0.0,Neutral
411,  _Luv   Yes ... PLEASE DO ONE THING RIGHT. O… ,0.5357142857142857,0.2857142857142857,Positive
412,Got 2nd of two vaccine doses complete and I’m doing well and doing great! Everyone needs to do this for themselves… ,0.3833333333333333,0.3666666666666667,Positive
413, I have my two CovidVaccine shots and I still using my mask. I don’t think is uncomfortable at all and I feel safer,1.0,-0.5,Negative
414,"CovidVaccine update. 

Arm sore. 
Mild fever.
Fatigued.

Otherwise I still feel good.",0.55,0.5166666666666666,Positive
415,Got the first dose of the COVID vaccine this morning. I feel A-Okay 👌🏾💉 CovidVaccine,0.3333333333333333,0.25,Positive
416, _in_Iowa  That’s a damn shame! She made it all the way to the first CovidVaccine… ,0.3333333333333333,0.25,Positive
417,Concerning lack of clarity and transparency with Sinovac covidvaccine.  ,0.0,0.0,Neutral
418,"InformedConsent for any CovidVaccine is your right, don't be forced or coerced into taking a vaccine that may not… ",0.3678571428571429,-0.007142857142857173,Negative
419,Covid-19 Lesson 1  There are homeless people out there. And there are people that are even m… ,0.0,0.0,Neutral
420,"Got vaccine 2 today and so far feeling great and even did a cardio workout! Please MaskUp, WashYourHands, and co… ",0.875,0.55,Positive
421,"  _Luv  Before the recall happens, we need mass sites for… ",0.0,0.0,Neutral
422,Honored to be part of this panel on the CovidVaccine. Join us on Thursday at 6pm ET.  ,0.0,0.0,Neutral
423,Westminster residents ages 65 and older are now eligible to receive the COVID-19 vaccine. Read the full press relea… ,0.44166666666666665,0.2583333333333333,Positive
424,Dose two has been deployed! vaccinated COVID19 CovidVaccine ,0.0,0.0,Neutral
425,My dad went ALL the way to LongBeach to get vaccine bcuz he over 65. They denied him because he doesn’t live in L… ,0.5,0.13636363636363635,Positive
426,This is not my 1st ClinicalTrial. But volunteering for the _tx CovidVaccine is certainly the most consequ… ,0.5357142857142857,0.35714285714285715,Positive
427,Got the second dose of the Pfizer vaccine yesterday &amp; I’m still alive!!! byeCovid PfizerCovidVaccine CovidVaccine Pfizer,0.2,0.09765625,Positive
428,Thank you  &amp;  for a wonderful CovidVaccine experience. Next 💉 coming in a few weeks. We were v… ,0.3666666666666667,0.26666666666666666,Positive
429,So this happened today! CovidVaccine decent amount of arm pain and fatigue but overall things are fine! ,0.38888888888888884,0.22916666666666666,Positive
430,"⁦⁩ what’s the plan for vaccine sites here, once more people are able to start receiving it?… ",0.5625,0.5,Positive
431,GETAnalysis: Well that should help - _FDA panel endorses second CovidVaccine in U.S. as _tx wins… ,0.0,0.0,Neutral
432,"Tory MPs say BorisJohnson’s future rests on a successful CovidVaccine programme
 ",0.5375,0.375,Positive
433," You can keep expanding eligibility for the CovidVaccine all you want, but if the sites aren't there, a… ",0.0,0.0,Neutral
434,"$ocgn is gonna shoot up soon, patience.
Covaxin COVID19 CovidVaccine ",0.0,0.0,Neutral
435,"Nurse Approved!! ❤️💉

. 
.

JustTakeMyAdvice WomenRights FoodForThought Advice Tagged Follow Love Ready… ",0.6,0.5,Positive
436,It’s kinda sad how hard it is for the folks in the disabled community to get vaccinated. Hoping I get mine within… ,0.6138888888888888,-0.33055555555555555,Negative
437,My boy Dusty Crum found an ingredient that helps with the Covid vaccine found in invasive pythons in the Florida Ev… ,0.6,-0.4,Negative
438,"Professor Kelly appears to be contradicting himself: 100% effective?  62%, 70% - what is it? covidvaccine ",0.8,0.6,Positive
439,"Today was good day: I received my 1st dose of the covid-19 Pfizer-BioNtech vaccine, trained to become a vaccinator,… ",0.6000000000000001,0.7,Positive
440,_Steinberg Will  give covidvaccine to all seniors 65+. By just opening mass vaccination sites 24/… ,0.0,0.0,Neutral
441,My high-risk dad just got his first CovidVaccine shot! Thank you  Boise!,0.3333333333333333,0.390625,Positive
442,"सर्वे भवन्तु सुखिनः सर्वे_सन्तु_निरामयाः । 

May all be happy. May all be free from diseases. ( Atharvaved ) 

Hap… ",0.9,0.6000000000000001,Positive
443,The COVIDVaccine in my own words - YouTube ,1.0,0.6,Positive
444,Can you imagine all of the socially tone deaf Disneyland vloggers ft. their Covid-19 vaccinations on their channels… ,0.06666666666666667,0.03333333333333333,Positive
445,My first Twitter rant... Substitute school teachers can get the CovidVaccine before someone who is high risk? diabetics ,0.43666666666666665,0.20500000000000002,Positive
446,Me turning up for my covidvaccine so I can go to the pub ,0.0,0.0,Neutral
447,💉🚑 Am I a superhuman now? EMTStudent CovidVaccine ,0.0,0.0,Neutral
448,"  -
Here are COVID Infection Fatality Rates

Lockdown and collapse the economy instead… ",0.0,0.0,Neutral
449," Not just ANY CovidVaccine NO THANK YOU. Your top priority is to ensure we get the best one, not the one in… ",0.4,0.75,Positive
450,This video is AMAZING. Watch if you want to understand how the CovidVaccine works or if you want a great example o… ,0.825,0.7000000000000001,Positive
451,Getting my first vaccine dose tonight CovidVaccine,0.3333333333333333,0.25,Positive
452,"“Nothing will even resemble normal until our schools are fully functioning, given that they are foundational in so… ",0.6499999999999999,0.15,Positive
453,Wonderful time meeting  yesterday while getting my final dose of the CovidVaccine ,1.0,0.5,Positive
454,  Same here...desperately searching covidvaccine for my 65+ high risk mom....,0.33249999999999996,0.08,Positive
455,"Because my Dad is a police officer, he got the first dose of the Moderna Covid-19 vaccine today!!!✊✊✊ Thank you… ",0.3333333333333333,0.25,Positive
456,StockNerds ELO 👉 how to screen &amp; trade stocks for this special setup 👉  Spam Free Research… ,0.6857142857142857,0.37857142857142856,Positive
457,   Exactly  opened the CovidVaccine for all... should start ro… ,0.25,0.25,Positive
458,  No supercenters yet...searching vaccine for my 65+ high-risk mom and no news yet on any covidvaccine,0.0,0.0,Neutral
459,"Interesting
 coronavirus CovidVaccine NannyState consumer policies",0.5,0.5,Positive
460,Team KORichmond is excited to receive its first dose of the CovidVaccine today! We believe in trusting the scie… ,0.5416666666666666,0.34375,Positive
461,Join me in getting covidvaccine with the rest of our ⁦⁩ Avon Hospital caregivers!!  We are going t… ,0.0,0.0,Neutral
462, Should have specifically asked CMO whether Oz has secured Moderna CovidVaccine Also how many govt membe… ,0.5,0.5,Positive
463,"Ok China, joke's over. COVID19 CovidVaccine ",0.5,0.5,Positive
464,Today is such a beautiful day to end a pandemic CovidVaccine scienceworks ,0.75,0.425,Positive
465,My parents are getting their first vaccine shot on Thursday morning. I’m so grateful. CovidVaccine,0.3333333333333333,0.25,Positive
466,  You TALKED to someone??? MSDH CovidVaccine,0.0,0.0,Neutral
467,Thank you to everyone working to administer these vaccines and protect Ontarians. There are a lot of hard months ah… ,0.5416666666666666,-0.2916666666666667,Negative
468,"198 LTC residents and 2 staffers have died since January 1st. There is no iron ring and if, as the MoH stated today… ",0.0,0.0,Neutral
469,"We'll all need access to 2 doses of CovidVaccine this year, but high-risk groups must be our first priority. We ne… ",0.3333333333333333,0.25,Positive
470,LTC residents continue to be at highest risk. Some questions have been raised about how efficiently our current… ,0.0,0.0,Neutral
471,I got the opportunity to get my 1st dose of the Pfizer Vaccine today. 🙏🏼 I am feeling great with no symptoms so far… ,0.75,0.8,Positive
472,"Good, this clears the lies peddled by a lot of media sources. The ""news""papers need to stop sprouting so much fake… ",0.4,0.44999999999999996,Positive
473,"Overwhelmed with many emotions, but there is a huge smile under the mask. Thank you  for the link. Th… ",0.5,0.4000000000000001,Positive
474,"Today was a good day, 2nd dose complete ✔✔

I am fortunate to have access. I got this for all those that don't have… ",0.425,0.3,Positive
475,Make no mistake JasonKenney wants Alberta to have the right to purchase CovidVaccine not to save lives but privat… ,0.31785714285714284,0.24285714285714285,Positive
476,"Instead of waiting for my work to someday tell me about when I can get vaccinated, I went and found the link to sel… ",0.0,0.0,Neutral
477,"Covid-19 Live Updates: U.S. to Require Negative Virus Tests From International Air Travelers:
😲… ",0.3,-0.05454545454545454,Negative
478,Are they telling people to post their CovidVaccine pictures on social media? It’s like everyone I know who’s gotte… ,0.06666666666666667,0.03333333333333333,Positive
479,One thing is for certain the BBC and the likes of _goodall are gutted that the UK is doing far better than th… ,0.6904761904761904,0.2714285714285714,Positive
480,Feds: Give CovidVaccine to 65+ and Those With Comorbidities  via  … ,0.0,0.0,Neutral
481,PRESS RELEASE: OCCOVID19 VACCINATIONS AT  RESOSUPER POD SITE BY APPOINTMENT ONLY -… ,1.0,0.0,Neutral
482, Will you give covidvaccine to all seniors 65+. By just opening mass vaccination sites 24/7 from tomor… ,0.0,0.0,Neutral
483,"3/3 We all know that the poor, refugees, &amp; war-torn populations won’t be seeing this vaccine anytime soon. To be of… ",0.6,-0.4,Negative
484, We need covidvaccine sites opened for seniors from tomorrow.  That is enough to stabilize California economy and death rate.,0.5,0.0,Neutral
485,Everyone should save/ take a screenshot of this now. Hold him accountable. I don't know much about  bu… ,0.2,0.2,Positive
486,Friends of mine are getting vaccinated and I am waiting.  I have anti-body envy VaccinesWork Vaccine… ,0.0,0.0,Neutral
487,Spanish Flu And Covid-19  Propaganda helped distribute Spanish flu; government cosmetic stop… ,0.03333333333333333,-0.03333333333333333,Negative
488, Not normal until it's eradicated. That won't happen if people unmask after the jabs. Not enough info t… ,0.575,-0.0375,Negative
489," Will you give covidvaccine to all seniors 65+. By just open mass vaccination sites 24/7 from tomorrow,… ",0.5,0.0,Neutral
490,Big Education Ape: TOP POSTS THIS WEEK 1/9/21 REDFORED tbats REOPENSCHOOLSSAFELY COVIDVACCINE DEVOSRESIGNS… ,0.3,0.25,Positive
491,Sent many patient portal messages today referring 1b folks to  for vaccine info bc we still haven’t lea… ,0.5,0.5,Positive
492,Next steps for the health and safety team..CovidVaccine  ,0.0,0.0,Neutral
493,"
UK is number one in Europe, by death rate. ToryCorruption ToryLies COVID19 CovidVaccine… ",0.0,0.0,Neutral
494,"Last month my uncle posted some off-the-wall, anti-vaxx theories on social media. We proceeded to have a respectful… ",0.06666666666666667,0.016666666666666666,Positive
495,Big Education Ape: THE TOP BANANA: TODAY'S EDUCATION HEADLINES REDFORED tbats REOPENSCHOOLSSAFELY COVIDVACCINE… ,0.3,0.25,Positive
496,Received my first dose of the COVID-19 vaccine today. I feel fine other than a sore arm at site of injection. There… ,0.40277777777777773,0.18055555555555558,Positive
497,1/3 It’s honestly a privilege to be able to receive the CovidVaccine through my institution. I trust the Science… ,0.7625,0.55,Positive
498,"McKenzie -The Health Minister needs a copy of that colour coded spreadsheet. Can you email him a copy? 

The LNP w… ",0.0,0.0,Neutral
499,I cry with you  -I don't know why we aren't protecting each other from this pandemic but we are plain… ,0.375,-0.125,Negative
500,"COVID-19 VACCINE DOSE 1!!! 
COVID19 vaccine pandemic Moderna CoronavirusVaccine CovidVaccine teamwork mRNA… ",0.0,0.0,Neutral
501,CovidVaccine I support planned covid vaccine roll out. Vaccine options are SAFE based on all the data. While AZ/O… ,0.5,0.5,Positive
502, Morrison kept saying we are in a very lucky position and can wait a bit longer to see how each… ,1.0,0.43333333333333335,Positive
503,I must say this is one of the best reasonings I have heard so far... CovidVaccine ,0.65,0.55,Positive
504,Wondering if you should get a COVIDvaccine if you have already been infected with COVID19? Here's your answer.… ,0.0,0.0,Neutral
505,"""There is a sense of apprehension, much less in India than anywhere else in world. Our communication strategy is im… ",0.06666666666666667,-0.16666666666666666,Negative
506,"I can’t stand “my body my choice” advocates. 

The ONLY choice is to wear a mask in public. MaskUp CovidVaccine… ",0.5333333333333333,0.0,Neutral
507,"So... :

My 74yo father went online to schedule his CovidVaccine just now and he was given an appointme… ",0.0,0.0,Neutral
508,"January 12, 2021 by  
The Human Face of Tragedy     … ",0.1,0.0,Neutral
509,All I’m going to say that the firefighters from  were a great view while I was waiting for my CovidVaccine 10… ,0.75,0.8,Positive
510,"Historic!!

The CovidVaccine being loaded on to  and  jets for dissemination across the cou… ",0.0,0.0,Neutral
511,"   Triplinx has out-of-date schedules, such as for .
StayHome… ",0.5,0.0,Neutral
512,"Vaccination ✅
Super sore arm ✅
vaccine CovidVaccine ",0.6666666666666666,0.3333333333333333,Positive
513,"Hey man, nice shot! And MAD-ID mask!  💪👊👏
COVID19 NationalPharmacistDay IDTwitter CovidVaccine ",1.0,0.9375,Positive
514,I have literally never been so excited about getting jabbed with a needle before!! First dose of the covid vaccine… ,0.5416666666666666,0.41796875,Positive
515,"'From our perspective, it’s just a big frustration that we keep getting shoved down the list and not considered fro… ",0.19444444444444448,-0.07777777777777779,Negative
516,Grateful to have received my CovidVaccine today ♥️,0.0,0.0,Neutral
517,"I spoke too soon, got the body aches now. Oof CovidVaccine",0.0,0.0,Neutral
518,COVIDVaccine UPDATE: City vaccination clinics expand to administer COVID-19 vaccine to older adults. Vaccination o… ,0.3333333333333333,0.16666666666666666,Positive
519,Step 1 in protecting myself from COVID-19 will be on January 14. vaccine CovidVaccine COVIDVaccination,0.0,0.0,Neutral
520,Today IGotTheShot first dose of the Pfizer COVIDVaccine! So thankful. I am an IBD patient on immunosuppressants… ,0.3333333333333333,0.3125,Positive
521, Let's let  lead by example. Sinovac CovidVaccine for him.,0.0,0.0,Neutral
522,All 3 parts of the mini series is posted on our Instagram - _ca! We talked to _Conway_VIDC in detail about… ,0.0,0.0,Neutral
523,"Reportedly you get hit with a blow dart on the Indiana Jones ride then you wait 15 minutes in the gift shop

Great… ",0.0,0.0,Neutral
524,Definitely felt worse after the second CovidVaccine but 10/10 would still recommend. 👍🏼💉,0.3666666666666667,-0.13333333333333333,Negative
525,"Here’s proof that “Nurses call the shots!”

So proud of my friend Ric Cuming, RN, FAAN, chief nurse exec ⁦… ",1.0,0.8,Positive
526,PRESS RELEASE: County Health Officer Opens COVID-19 Vaccine to OC Residents Ages 65 and Older: Decision based on l… ,0.3333333333333333,0.16666666666666666,Positive
527,"COVIDVACCINE Appointment based COVID-19 vaccine clinic this Saturday, January 16 in Wichita Falls. 975 doses will… ",0.0,0.0,Neutral
528,"I’m very grateful for the steps taken globally, nationally, and locally to develop and distribute the CovidVaccine… ",0.09999999999999999,0.06666666666666667,Positive
529,"It was so great to discuss the crucial topic of racial equity in CovidVaccine distribution with Dr. Nunez-Smith,… ",0.875,0.4,Positive
530,"Today we hit 155 deaths. If we had the population of the US, it would equate to roughly 5115 deaths.

This is far f… ",0.7,0.0,Neutral
531, It would be nice if I could get past choosing date &amp; time for vaccination without running into ERROR… ,0.625,0.175,Positive
532,COVIDVaccine UPDATE: City vaccination clinics expand to administer COVID-19 vaccine to older adults. Vaccination o… ,0.3333333333333333,0.16666666666666666,Positive
533,Dr C practices what she preaches! 👇🏽 Bring on more COVIDVaccine rollouts! ,0.5,0.625,Positive
534,  To share some misinformation on CovidVaccine ?,0.0,0.0,Neutral
535,"COVID19 vaccine is optional. Today, I signed the consent form for vaccination. Therein, I was given options to ei… ",0.0,0.0,Neutral
536,Just here waiting for covid vaccine rollout to get to phase 1c. oregon CovidVaccine ,0.0,0.0,Neutral
537," Hey, the thread is ready and compiled. You can read the whole version here:   CovidVaccine scicomm",0.45,0.2,Positive
538,But I have to go number 2 now!!  heatstroke CovidVaccine ,0.0,0.0,Neutral
539,"""When data from all volunteers was considered—including those who contracted “very mild” cases of Covid-19 &amp; requir… ",0.65,0.43333333333333335,Positive
540,"🌟 COVID Vaccine Now Available for Staff! 🌟 - 
We have been waiting 10 months to send this em… ",0.4,0.5,Positive
541,Join us on January 13 at 10 a.m. MST as we pair up with  and local public health experts and epidemio… ,0.03333333333333333,0.0,Neutral
542,"Love it. ""Peter Parker turning to Spiderman. It is uncomfortable but ultimately you are protected"". 

CovidVaccine… ",0.8666666666666667,0.0,Neutral
543,"""I wish our elderly relatives had received the vaccine before me”. This. 

Our medical institutions can't lose sigh… ",0.0,0.0,Neutral
544,"2nd dose of COVIDvaccine in!

Immediate effects: little burn in the arm &amp; feeling 

🙏🏼 Grateful for science
🙌🏽 Hop… ",0.25,-0.09375,Negative
545,Why You Should Still Wear A Mask And Avoid Crowds After Getting The COVID-19 Vaccine  science feedly CovidVaccine,0.0,0.0,Neutral
546,categories are enough) and get the show on the road. People standing in long lines to get it and stocks emptying is… ,0.45,-0.025,Negative
547,"NEWS 
 Durkan's propaganda to The BLACK Community on vaccine distribution earlier today...
Why should… ",0.3444444444444444,-0.08888888888888889,Negative
548,The time is now! Tune in to the  panel discussion on CovidVaccine hesitancy among communities of color:… ,0.0,0.0,Neutral
549,"++
This is another lady 19 yr old who had right side paralysis/ stroke within few hours of taking Pfizer… ",0.2785714285714286,0.061904761904761886,Positive
550,ThisIsOurShot movement &amp; covidvaccine update &gt;72hrs:     … ,0.0,0.0,Neutral
551,Got this today. Hope we can put a dent in this. CovidVaccine ,0.0,0.0,Neutral
552,"After getting the first dose of the COVIDVaccine, certified nurse anesthetist Christine Salvator felt many emotio… ",0.41666666666666663,0.375,Positive
553,"Jim Jordan does not know how the vaccines work.  

You can still kill people 

Clearly you don’t care about others.… ",0.3833333333333333,0.10000000000000002,Positive
554,Finally preregistered hubby and I for our CovidVaccine   via ,1.0,0.0,Neutral
555,Stay up-to-date and stay informed!  is continuing to update their website with the latest information on the… ,0.9,0.5,Positive
556,I know I’m super fortunate to have this much work but damn I’m exhausted 😴 !!! overtime CovidVaccine mycheckwillrock,0.5666666666666667,0.03802083333333334,Positive
557,"_s _s , thanks for sharing your IGotTheShot story. Consider sharing here:  ",0.2,0.2,Positive
558,"OC volunteers, we need your help. Register today to help government staff provide OCCOVID19 vaccine distribution… ",0.0,0.0,Neutral
559,Even Andrew Cuomo admits: 'We simply cannot stay closed until the vaccine hits critical mass.'… ,0.41904761904761906,-0.03333333333333333,Negative
560,Thrilled to be able to take advantage of this opportunity! I just may see a light at the end of this tunnel.… ,0.6749999999999999,0.5416666666666666,Positive
561,"   , thanks for sharing your covidvaccine story. Consider sharing here:… ",0.2,0.2,Positive
562,"Thank you science!
•
So grateful to be among the first wave in Indiana to get vaccinated.
•
I’m doing my part for a… ",0.3333333333333333,0.25,Positive
563, The public know they will not get the vaccine. It will be ring fenced for an elite few. Those who nee… ,0.08333333333333334,-0.1,Negative
564,"From what I’m seeing on social sites, no one is staying at home here in North Carolina. They’re skiing, shopping an… ",0.06666666666666667,0.03333333333333333,Positive
565,Got my 2nd vaccine last Friday! I won’t lie this one was much harder on me! The week-end was rough but I would do i… ,0.11666666666666667,-0.05625,Negative
566,"  , thanks for sharing your vaccinated story. Consider sharing here:  ",0.2,0.2,Positive
567,I really hope President  speeds up the rollout of the CovidVaccine! It’s time to get back to reality,0.1,0.125,Positive
568,"⚠️⚠️⚠️
This lady apparently has continuous shaking / seizures after Moderna CovidVaccine !

… ",0.175,-0.006249999999999999,Negative
569," 
As someone who normally approves of yr handling of the Covid crisis, I must express disappointment at… ",0.5249999999999999,-0.22499999999999998,Negative
570,"This pandemic is also taking a huge toll on our mental health. For those who refuse to wear a mask, watch below… ",0.55,0.15000000000000002,Positive
571,"  , thanks for sharing your barearm story. Consider sharing here:… ",0.2,0.2,Positive
572,This happened today! I got my 1st CovidVaccine ,0.0,0.0,Neutral
573,Chance of Fluri Live! EP 48: State of Emergency 2 - O'Toole is a Rebel - Do The Cabinet Shuffle… ,0.5,0.17045454545454544,Positive
574,"I just took the quiz and ""got in line"" for the COVID19 vaccine! GetVaccinated Virginia CovidVaccine COVID ",0.0,0.0,Neutral
575,"  , thanks for sharing your vaccinated story. Consider sharing here:  ",0.2,0.2,Positive
576,ThisIsOurShot 💉 for a covid-free world. I want to know what   think about length of immunity for… ,0.0,0.0,Neutral
577,‘Poverty pandemic’ as refugees remain excluded from CovidVaccine plans: Experts ,0.0,0.0,Neutral
578,What if the vaccine is really just fox die and nano machines. foxdie MetalGearSolid vaccine CovidVaccine,0.2,0.2,Positive
579,Can’t believe I got my first CovidVaccine dose today . Grateful and in awe of science.… ,0.3333333333333333,0.25,Positive
580,"So, serious question, what type of allergic reactions is the Covid vaccine causing?  Certain manufacturer?  Many ar… ",0.5793650793650794,0.12698412698412698,Positive
581,"So...if you release all the vaccines and are not “worrying about second doses”, we will never build herd immunity b… ",0.0,0.0,Neutral
582,Operation warp speed is more warped then speed. This didn’t need to happen. CovidVaccine,0.5,0.5,Positive
